galaxy,N,logp0,a,loga,rmax,T,L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,Q,M_star,M_halo,logM_star,logM_halo,logM_halo_per_star,D,Inc,n,logMHI,gasfrac,MHI_Mstar,rmax_over_a,SB_central,res_a
UGC06818,1,7.095067760161421,6.9799999999999995,0.843855422623161,6.98,9,1.588,2.12,56.08,1.39,286.31,1.079,6.96,71.2,2,794000000.0,95671917319.82304,8.899820502427096,10.980784477559103,2.0809639751320077,18.0,75.0,,0.033021444682910656,1.3589420636444603e-09,1.3589420654911838e-09,1.0000000000000002,286.31,0.336567665889589
UGC05986,1,7.960571180810591,3.3007450067510975,0.5186119749699946,9.41,9,4.695,3.12,76.71,1.67,1725.16,2.667,16.53,113.0,2,2347500000.0,382454545665.9173,9.370605600938148,11.582579827098794,2.2119742261606454,8.63,90.0,,0.4260230156898761,1.136102235130997e-09,1.1361022364217251e-09,2.850871539835246,1725.16,-0.15974800976543058
NGC7331,1,6.8618270615224795,23.255106648838844,1.3665183355437729,36.31,3,250.631,3.99,2470.76,5.02,1806.47,11.067,27.01,239.0,1,125315500000.0,3618580174893.22,11.098004791250704,12.558538199492949,1.4605334082422434,14.7,75.0,,1.0440299099464658,8.831309773350175e-11,8.831309774130095e-11,1.5613774878909448,1806.47,0.4107228848642581
UGC06923,1,7.634510897392367,3.3496792265787274,0.5250032199332855,5.16,10,2.89,1.66,166.28,1.44,347.4,0.809,6.75,79.6,2,1445000000.0,133685313814.98332,9.159867847092569,11.12608369986154,1.9662158527689737,18.0,65.0,,0.0,5.598615913820568e-10,5.598615916955018e-10,1.5404460101901418,347.4,-0.02358871388511674
UGC04499,1,7.576482801829736,3.0157201867410395,0.4793910431023027,8.18,8,1.552,2.69,33.79,1.73,127.3,1.1,8.67,72.8,1,776000000.0,102267734335.2918,8.889861721258189,11.009738634587643,2.119876913329456,12.5,50.0,,0.04139268515822508,1.417525771186497e-09,1.4175257731958763e-09,2.7124532428321135,127.3,-0.036127505305842134
UGC07261,1,8.18741210847976,1.4913862889943643,0.1735901461024533,6.67,8,1.753,2.66,39.16,1.2,566.02,1.388,10.1,74.7,2,876500000.0,110485758646.426,8.942751920429814,11.04330630209473,2.1005543816649173,13.1,30.0,,0.14238946611883607,1.583571018598977e-09,1.5835710211066741e-09,4.472349014618843,566.02,-0.3514706755613014
UGC06446,1,8.081212354087949,1.955944680194208,0.2913565675138823,10.22,7,0.988,2.06,37.05,1.49,86.46,1.379,10.33,82.2,1,494000000.0,147217673171.4916,8.693726948923647,11.167959949268685,2.4742330003450377,12.0,51.0,,0.13956426617584977,2.7914979679160413e-09,2.791497975708502e-09,5.225096652010243,86.46,-0.2691395182590355
UGC05005,1,6.8103235600019865,10.641260153829782,1.0269930608019444,28.61,10,4.1,5.02,25.63,3.2,65.59,3.093,21.61,98.9,1,2050000000.0,256409062886.69147,9.311753861055754,11.408933371440073,2.0971795103843185,53.7,41.0,,0.490379920003179,1.5087804855284595e-09,1.508780487804878e-09,2.6885913497475467,65.59,0.3979955147707801
UGC07151,1,8.092046732181462,1.573454181775878,0.1968541009882776,5.5,6,2.284,2.17,76.71,1.25,965.67,0.616,6.39,73.5,1,1142000000.0,105246221729.81998,9.05766610390983,11.02220651390112,1.9645404099912904,6.87,90.0,,0.0,5.39404553124104e-10,5.394045534150613e-10,3.4954942213775997,965.67,-0.3222086886544433
UGC07690,1,8.61103601502444,0.6988474340695277,-0.1556176250750358,4.13,10,0.858,0.86,184.01,0.57,395.21,0.39,5.5,57.4,2,429000000.0,50127976488.69657,8.632457292184725,10.700080173842457,2.06762288165773,8.11,41.0,,0.0,9.090909082644629e-10,9.090909090909091e-10,5.909730505770319,395.21,-0.5831096328330696
UGC06930,1,7.713820214176035,3.6892894492014103,0.5669427298431203,16.61,7,8.932,4.38,73.93,3.94,189.16,3.237,16.76,107.2,1,4466000000.0,326534334064.18646,9.64991871873542,11.513928852718788,1.8640101339833688,18.0,32.0,,0.5101426994025732,7.24809672560186e-10,7.248096730855351e-10,4.502221966778841,189.16,-0.0919018579211105
UGC06399,1,7.66101606499082,3.484253585974374,0.5421097556873946,7.85,9,2.296,3.45,30.82,2.05,311.05,0.674,8.8,85.0,1,1148000000.0,162780086074.8074,9.059941888061957,11.211601273791413,2.1516593857294577,18.0,75.0,,0.0,5.871080135925864e-10,5.871080139372823e-10,2.2529933043908286,311.05,-0.0307922395442215
UGC06917,1,7.750070175421745,3.652262634922239,0.5625620001865533,10.47,9,6.832,4.52,53.07,2.76,261.11,2.023,12.67,108.7,1,3416000000.0,340434157752.6616,9.533517862016968,11.532033128907418,1.9985152668904504,18.0,56.0,,0.3059958827708047,5.922131144033821e-10,5.922131147540984e-10,2.8667160734520727,261.11,-0.10142908607807122
UGC07125,1,6.982296969372208,4.75932097713657,0.6775449953846953,18.68,9,2.712,3.92,28.11,3.38,103.0,4.629,23.04,65.2,1,1356000000.0,73466150447.23094,9.132259689531043,10.866087283844294,1.733827594313249,19.8,90.0,,0.6654871807828107,3.4137168025058294e-09,3.4137168141592917e-09,3.9249296464216967,103.0,0.20286218398571387
UGC06614,1,6.633149694986806,27.668505780395744,1.4419857059840628,64.59,1,124.35,3.68,1461.61,5.1,540.54,21.888,60.63,199.8,1,62175000000.0,2114126394386.3047,10.793615793941974,12.325130948318424,1.53151515437645,88.7,36.0,,1.3402060800400222,3.520386005998324e-10,3.520386007237636e-10,2.334423134832407,540.54,0.5525408818435464
UGC10310,1,7.851703076005121,2.136004563505334,0.3296021762137603,7.74,9,1.741,3.12,28.37,1.8,158.79,1.196,9.58,71.4,1,870500000.0,96480408136.88268,8.93976877545335,10.984439131977055,2.0446703565237065,15.2,34.0,,0.07773117965239203,1.3739230308521402e-09,1.3739230327398046e-09,3.623587763922242,158.79,-0.17872448830521448
UGC07603,1,8.113110243397783,1.534772174207682,0.1860439167332073,4.11,7,0.376,0.85,81.81,0.53,520.99,0.258,4.37,61.6,1,188000000.0,61956465361.981544,8.27415784926368,10.79208663314181,2.51792878387813,4.7,78.0,,0.0,1.3723404236485967e-09,1.372340425531915e-09,2.677921889039829,520.99,-0.26760274641546955
UGC06667,1,7.778662946179088,3.095180469628939,0.4906859763541999,7.85,6,1.397,3.5,18.06,5.15,614.94,0.809,8.59,83.8,1,698500000.0,155982742740.48978,8.844166410450201,11.193076552539363,2.348910142089162,18.0,89.0,,0.0,1.1581961332326691e-09,1.1581961345740874e-09,2.5362010638885573,614.94,-0.0769500005538693
UGC06983,1,7.896353928927501,3.192139601867636,0.5040818760981871,15.68,6,5.298,3.95,53.56,3.21,121.57,2.967,16.07,109.0,1,2649000000.0,343260626239.56323,9.423081958297232,11.535623990470404,2.112542032173174,18.0,49.0,,0.47231754631684186,1.1200452988587489e-09,1.1200453001132504e-09,4.912065872941787,121.57,-0.16092998357137667
UGC07524,1,7.499161154922204,3.6000872067499,0.5563130210316065,10.69,9,2.436,3.61,29.71,3.46,106.86,1.779,12.11,79.5,1,1218000000.0,133182107391.2265,9.085647288296856,11.124445882617945,2.038798594321088,4.74,46.0,,0.250175948083925,1.4605911308715995e-09,1.460591133004926e-09,2.9693725140760563,106.86,0.008186669150878068
UGCA442,1,7.5069742576442975,2.842307711957896,0.4536710934264888,6.33,9,0.14,1.71,7.6,1.18,116.1,0.263,4.37,56.4,1,70000000.0,47553425707.58282,7.845098040014257,10.67718180859856,2.832083768584305,4.35,64.0,,0.0,3.757142843026735e-09,3.757142857142857e-09,2.227063584061995,116.1,0.03268839878107699
