galaxy,n,N_best,bic1,bic2,margin,chi2gain,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,M_star,r_vir,M_halo,logM_star,logM_halo,logM_halo_per_star
NGC3893,10,1,7.4319923309604015,12.037163222918942,4.60517089195854,-7.059704487666352e-07,NGC3893,5,18.0,2.5,4,49.0,2.0,58.525,0.377,2.43,1573.37,2.38,2055.09,5.799,20.84,174.0,8.9,1,"VS01,SV98",29262500000.0,198.36,1396343415695.748,10.466311426704682,12.144992241496334,1.6786808147916528
NGC4051,7,1,6.989133044618139,10.880953792200504,3.891820747582365,-4.494717384950775e-07,NGC4051,4,18.0,2.5,4,49.0,3.0,95.268,0.439,6.87,319.76,4.65,1320.78,2.697,15.13,157.0,5.5,2,"VS01,SV98",47634000000.0,178.98,1025754554268.7478,10.677917052328027,12.011043453876235,1.3331264015482065
NGC0891,14,1,38.143134756202144,43.42124987670326,5.278115120501113,-4.612705950535201e-07,NGC0891,3,9.91,0.5,2,90.0,1.0,138.34,0.255,3.68,1617.45,2.55,5067.92,4.462,18.16,216.1,5.7,1,Fr11,69170000000.0,246.354,2674907677756.568,10.83991777567868,12.427308797298258,1.5873910216195777
NGC4138,7,1,7.345792625868877,11.237620278715463,3.891827652846586,-7.3547359598080675e-06,NGC4138,0,18.0,2.5,4,53.0,3.0,44.111,0.284,1.91,1909.11,1.51,3952.12,1.483,18.58,147.3,5.9,2,"VS01,SV98",22055500000.0,167.922,847135218216.6102,10.343516907717673,11.927952737176428,1.5844358294587568
NGC4088,9,1,10.811571147936458,15.206020302671536,4.394449154735078,-6.263878304935133e-11,NGC4088,4,18.0,2.5,4,69.0,2.0,107.286,0.494,6.1,457.96,2.58,3988.69,8.226,22.25,171.7,6.9,1,"VS01,SV98",53643000000.0,195.73799999999997,1341699883703.6812,10.729513057900906,12.127655382131284,1.3981423242303777
NGC3917,16,1,14.467315170018708,20.012493582938802,5.5451784129200945,-9.68440533100079e-07,NGC3917,6,18.0,2.5,4,79.0,2.0,21.966,0.202,5.56,112.94,2.63,1226.96,1.888,14.08,135.9,4.1,1,"VS01,SV98",10983000000.0,154.926,665277547788.7239,10.040720983601194,11.823002866846018,1.7822818832448242
NGC2998,13,2,66.24977402818355,16.16798395545522,-50.08179007272833,55.211688787651404,NGC2998,5,68.1,10.2,1,58.0,2.0,150.902,2.085,7.06,479.55,6.2,774.16,23.451,43.58,209.9,8.1,1,"Sa96,Br92",75451000000.0,239.28599999999997,2451217296074.552,10.877665000130216,12.389381812395737,1.511716812265519
NGC3521,41,2,38.33459754868173,18.508232024040943,-19.826365524640785,27.253509658049403,NGC3521,4,7.7,2.3,1,75.0,5.0,84.836,0.156,2.45,2232.7,2.4,2112.66,4.154,18.85,213.7,15.9,1,"Da06,Sa96",42418000000.0,243.61799999999997,2586771474506.5576,10.627550187767522,12.412758063140744,1.7852078753732208
NGC3972,10,1,10.895041012658561,13.892956432153454,2.997915419494893,1.607254766493198,NGC3972,4,18.0,2.5,4,77.0,1.0,14.353,0.172,3.73,164.75,2.18,1587.93,1.214,10.05,132.7,2.9,1,"VS01,SV98",7176500000.0,151.27799999999996,619380124815.4458,9.855912689188244,11.79195726524184,1.9360445760535967
NGC3198,40,2,75.3071910807087,40.71887046427078,-34.588320616437926,41.966079524665794,NGC3198,5,13.8,1.4,3,73.0,3.0,38.279,0.212,5.84,178.99,3.14,1602.62,10.869,35.66,150.1,3.9,1,"Da06,Be91,Be87",19139500000.0,171.11399999999998,896368473448.6422,10.281930588086734,11.952486573378346,1.670555985291612
