galaxy,n,N_best,chi2_1,bic_1,chi2_2,bic_2,bic_margin,chi2_gain,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,M_star,r_vir,M_halo,logM_star,logM_halo,logM_halo_per_star
NGC1090,22,2,37.77182336410959,43.953908270826226,24.897909944116293,37.26207975754956,-6.691828513276668,12.8739134199933,NGC1090,4,37.0,9.25,1,64.0,3.0,72.045,0.796,6.36,283.68,3.53,2055.09,8.783,30.49,164.4,3.7,1,Ge04,36022500000.0,187.416,1177741385371.9329,10.556573850030665,12.071049936260628,1.5144760862299655
NGC3972,10,1,6.440420021505228,11.04559020749332,3.927866591482962,13.138206963459146,2.0926167559658264,2.5125534300222663,NGC3972,4,18.0,2.5,4,77.0,1.0,14.353,0.172,3.73,164.75,2.18,1587.93,1.214,10.05,132.7,2.9,1,"VS01,SV98",7176500000.0,151.27799999999996,619380124815.4458,9.855912689188244,11.79195726524184,1.9360445760535967
NGC3521,41,2,30.967900571054162,38.39504470446278,3.5692310940875984,18.42351936090483,-19.971525343557946,27.398669476966564,NGC3521,4,7.7,2.3,1,75.0,5.0,84.836,0.156,2.45,2232.7,2.4,2112.66,4.154,18.85,213.7,15.9,1,"Da06,Sa96",42418000000.0,243.61799999999997,2586771474506.5576,10.627550187767522,12.412758063140744,1.7852078753732208
NGC3893,10,1,2.8605585013310666,7.465728687319158,2.8605609323556256,12.070901304331809,4.60517261701265,-2.431024558990913e-06,NGC3893,5,18.0,2.5,4,49.0,2.0,58.525,0.377,2.43,1573.37,2.38,2055.09,5.799,20.84,174.0,8.9,1,"VS01,SV98",29262500000.0,198.36,1396343415695.748,10.466311426704682,12.144992241496334,1.6786808147916528
NGC4051,7,1,3.1017202589464707,6.993540557057097,3.1017235470279143,10.885364143249166,3.8918235861920696,-3.2880814435642947e-06,NGC4051,4,18.0,2.5,4,49.0,3.0,95.268,0.439,6.87,319.76,4.65,1320.78,2.697,15.13,157.0,5.5,2,"VS01,SV98",47634000000.0,178.98,1025754554268.7478,10.677917052328027,12.011043453876235,1.3331264015482065
NGC4138,7,1,3.4504613785787317,7.342281676689359,3.450466455693007,11.23410705191426,3.891825375224901,-5.077114275220396e-06,NGC4138,0,18.0,2.5,4,53.0,3.0,44.111,0.284,1.91,1909.11,1.51,3952.12,1.483,18.58,147.3,5.9,2,"VS01,SV98",22055500000.0,167.922,847135218216.6102,10.343516907717673,11.927952737176428,1.5844358294587568
NGC0289,28,2,67.56500854408759,74.229417564438,45.35745799066043,58.686276031361245,-15.54314153307675,22.20755055342716,NGC0289,4,20.8,5.2,1,46.0,5.0,72.065,0.465,2.69,1587.93,6.74,69.96,27.469,49.51,163.0,8.0,2,Wa97,36032500000.0,185.82,1147908600737.9834,10.556694395304326,12.059907309860408,1.503212914556082
NGC3198,40,2,68.13894610038714,75.51670500861502,23.20837753879642,37.96389535525216,-37.55280965336286,44.930568561590725,NGC3198,5,13.8,1.4,3,73.0,3.0,38.279,0.212,5.84,178.99,3.14,1602.62,10.869,35.66,150.1,3.9,1,"Da06,Be91,Be87",19139500000.0,171.11399999999998,896368473448.6422,10.281930588086734,11.952486573378346,1.670555985291612
NGC2998,13,2,61.12390654001733,66.2538052549404,6.086429311591499,16.346226741437647,-49.907578513502756,55.03747722842583,NGC2998,5,68.1,10.2,1,58.0,2.0,150.902,2.085,7.06,479.55,6.2,774.16,23.451,43.58,209.9,8.1,1,"Sa96,Br92",75451000000.0,239.28599999999997,2451217296074.552,10.877665000130216,12.389381812395737,1.511716812265519
NGC3953,8,1,1.1092938206496656,5.268176904009337,1.0248051385545551,9.342571305273898,4.074394401264561,0.08448868209511051,NGC3953,4,18.0,2.5,4,62.0,1.0,141.301,0.521,6.17,587.26,4.89,1999.08,2.832,17.38,220.8,6.1,1,"VS01,SV98",70650500000.0,251.712,2853262337430.916,10.849115239736914,12.455341703820018,1.606226464083104
NGC3917,16,1,8.929644895286021,14.474822339765584,8.92964698586033,20.020001874819457,5.545179535053872,-2.090574309221438e-06,NGC3917,6,18.0,2.5,4,79.0,2.0,21.966,0.202,5.56,112.94,2.63,1226.96,1.888,14.08,135.9,4.1,1,"VS01,SV98",10983000000.0,154.926,665277547788.7239,10.040720983601194,11.823002866846018,1.7822818832448242
NGC4010,12,1,14.966689080773357,19.936502380349356,14.381367920100631,24.320994519252633,4.384492138903276,0.5853211606727253,NGC4010,7,18.0,2.5,4,89.0,1.0,17.193,0.19,6.63,14.75,2.81,2611.14,2.832,17.59,125.8,4.7,2,"VS01,SV98",8596500000.0,143.41199999999998,527699180796.62213,9.93432166751343,11.722386419976283,1.788064752462855
NGC3109,25,1,3.4302952906552866,9.868046940391688,3.1538108014621864,16.02931410093499,6.161267160543302,0.2764844891931002,NGC3109,9,1.33,0.07,2,70.0,5.0,0.194,0.002,1.64,11.4,1.56,140.87,0.477,6.0,66.2,2.6,1,"Be91,JC90",97000000.0,75.468,76898605625.32117,7.986771734266245,10.885918464967634,2.899146730701389
NGC5055,22,1,190.59699558785675,196.77908049457338,190.59707258186916,202.9612423953024,6.182161900729028,-7.699401240301995e-05,NGC5055,4,9.9,0.3,2,55.0,6.0,152.922,0.282,4.18,1383.02,3.2,3348.34,11.722,35.06,179.0,4.9,1,"Ba06,Bl04",76461000000.0,204.05999999999997,1520210016019.8655,10.883439973667864,12.181903589588211,1.298463615920349
NGC5033,20,1,44.58101718759776,50.57248173470574,44.58102875353545,56.56395784775141,5.991476113045671,-1.1565937690249939e-05,NGC5033,5,15.7,4.7,1,66.0,1.0,110.509,0.407,2.94,2036.24,5.16,614.94,11.314,29.53,194.2,3.6,1,"Sa96,Be87",55254500000.0,221.388,1941297849134.2524,10.742367653317965,12.288092173364491,1.5457245200465302
NGC5585,24,2,113.86929550100422,120.22540316170011,68.25341967578714,80.96563499717892,-39.25976816452119,45.615875825217074,NGC5585,7,7.06,2.12,1,51.0,2.0,2.943,0.033,2.27,90.54,1.53,297.05,1.683,10.92,90.3,2.4,1,"Bl99,Sa96,Co91",1471500000.0,102.942,195167611686.82904,9.16776026643563,11.290407747589052,2.1226474811534217
NGC5985,33,2,112.21016520332259,119.20318032625555,44.46996172201411,58.45599196788003,-60.74718835837552,67.74020348130847,NGC5985,3,39.7,9.9,1,60.0,2.0,208.728,1.538,10.71,288.95,7.01,1461.61,11.586,39.5,293.6,8.6,1,"Bl04,Br92",104364000000.0,334.704,6708302688463.605,11.018550716122284,12.826612650380634,1.8080619342583493
NGC4100,24,1,13.499810412247808,19.855918072943698,13.499763579018296,26.21197890041008,6.356060827466383,4.683322951137825e-05,NGC4100,4,18.0,2.5,4,73.0,2.0,59.394,0.328,4.93,388.0,2.15,8970.78,3.102,18.06,158.2,5.0,1,"VS01,SV98",29697000000.0,180.348,1049455273307.2766,10.472712578972017,12.020963934133508,1.5482513551614918
NGC6015,44,2,663.404747207488,670.9731264753245,151.23066449884286,166.3674230345159,-504.6057034408086,512.1740827086451,NGC6015,6,17.0,5.1,1,60.0,2.0,32.129,0.237,3.92,331.76,2.3,1926.77,5.834,21.43,154.1,7.0,2,VM97,16064499999.999998,175.67399999999998,969956846327.87,10.20586721288659,11.986752412803792,1.7808851999172024
NGC4088,9,1,4.177334089828369,8.571783244500807,2.2397297688517814,11.02862807819666,2.456844833695852,1.9376043209765874,NGC4088,4,18.0,2.5,4,69.0,2.0,107.286,0.494,6.1,457.96,2.58,3988.69,8.226,22.25,171.7,6.9,1,"VS01,SV98",53643000000.0,195.73799999999997,1341699883703.6812,10.729513057900906,12.127655382131284,1.3981423242303777
NGC4559,32,1,7.40519517907344,14.336666984672892,5.957264922999164,19.82020853419807,5.483541549525178,1.447930256074276,NGC4559,6,9.0,2.7,1,67.0,1.0,19.377,0.107,3.82,211.27,2.1,1602.62,5.811,21.16,121.2,5.1,1,Ba05,9688500000.0,138.16799999999998,471902584783.2203,9.98625654359883,11.673852356139337,1.687595812540506
NGC6503,31,2,73.85875155522946,80.72672596419976,39.95196014835912,53.6879089662997,-27.038816997900057,33.90679140687034,NGC6503,6,6.26,0.31,2,74.0,2.0,12.845,0.059,1.62,774.16,2.16,398.87,1.744,14.05,116.3,2.4,1,"Be91,Be87",6422500000.0,132.582,416949676133.6554,9.807704112938383,11.62008364083388,1.812379527895496
NGC5371,19,3,209.44772036248688,215.33659832081975,40.58131511569592,52.35907103236168,-162.97752728845808,168.86640524679095,NGC5371,4,39.7,9.92,1,53.0,2.0,340.393,1.881,9.8,560.83,7.44,1395.82,11.18,30.03,209.5,3.9,1,"Sa96,Be87",170196500000.0,238.83,2437230355320.1533,11.230950624806642,12.386896578555476,1.1559459537488357
NGC4217,11,1,5.472367473640891,10.268158019237632,5.472370206727276,15.06395129792076,4.795793278683128,-2.7330863847652154e-06,NGC4217,3,18.0,2.5,4,86.0,2.0,85.299,0.393,5.28,483.98,2.94,4373.51,2.562,16.7,181.3,7.2,1,"VS01,SV98",42649500000.0,206.682,1579566479786.836,10.62991394409642,12.19853790893506,1.5686239648386415
NGC5005,13,1,0.34564946349277575,5.475548178415849,0.34564953814966703,10.605446967995814,5.129898789579965,-7.465689128016706e-08,NGC5005,4,16.9,1.5,5,68.0,2.0,178.72,0.494,3.97,1789.91,9.45,96.57,1.28,10.41,262.2,20.7,1,Ri15,89360000000.0,298.90799999999996,4777960540146.155,10.951143160107552,12.679242558710731,1.7280993986031792
NGC4013,36,2,61.43560116072256,68.60263903763479,23.014790398036858,37.3488661518613,-31.253772885773486,38.420810762685704,NGC4013,3,18.0,2.5,4,89.0,1.0,79.094,0.364,4.11,746.16,3.53,10205.4,2.967,31.35,172.9,7.1,2,"VS01,SV98",39547000000.0,197.106,1370028105089.3882,10.597113543892805,12.136729476470302,1.5396159325774974
UGC02259,8,2,14.269908420005262,18.428791503364934,1.278120403207585,9.595886569926929,-8.832904933438005,12.991788016797678,UGC02259,8,10.5,3.1,1,41.0,3.0,1.725,0.038,2.4,47.08,1.62,172.52,0.494,7.28,86.2,2.9,2,"Be91,Ca88",862500000.0,98.268,169772089608.94327,8.935759103745312,11.229866294122672,2.2941071903773604
UGC00128,22,2,144.06720117727508,150.2492860839917,46.53660432534551,58.90077413877877,-91.34851194521293,97.53059685192957,UGC00128,8,64.5,9.7,1,57.0,10.0,12.02,0.565,9.63,20.36,5.95,88.89,7.431,31.27,129.3,2.8,1,"VB99,VH93",6010000000.0,147.402,572980802430.1835,9.77887447200274,11.758140071289716,1.9792655992869772
UGC00731,12,2,5.721348216569436,10.691161516145437,0.6734838813600885,10.61311048051209,-0.07805103563334725,5.047864335209347,UGC00731,10,12.5,3.75,1,57.0,3.0,0.323,0.019,1.4,25.63,2.3,82.57,1.807,11.57,73.3,2.3,1,"Sw09,Sw02",161500000.0,83.56199999999998,104389404609.7221,8.208172526667122,11.01865642057192,2.810483893904797
NGC4183,23,1,8.082160665932495,14.353149097790794,2.0021576282045728,14.544134491921172,0.19098539413037763,6.080003037727922,NGC4183,6,18.0,2.5,4,82.0,2.0,10.838,0.15,4.47,86.46,2.79,1098.58,3.506,16.07,110.6,5.4,1,"VS01,SV98",5419000000.0,126.084,358599663382.8655,9.73391915101239,11.554609877554572,1.820690726542182
NGC6674,15,3,277.4910992908126,282.907199693017,25.762090752440464,36.594291556849306,-246.3129081361677,251.72900853837214,NGC6674,3,51.2,10.2,1,54.0,6.0,214.654,1.977,7.75,560.83,6.04,1370.35,32.165,50.02,241.3,4.9,1,"Sa96,Br92",107327000000.0,275.082,3724058224092.1113,11.030708990148176,12.571016462374892,1.5403074722267167
NGC7814,16,1,10.083944966118244,15.629122410597805,6.968035435880898,18.058390324840023,2.4292679142422173,3.115909530237346,NGC7814,2,14.4,0.66,2,90.0,1.0,74.529,0.343,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,7.0,1,Fr11,37264500000.0,249.546,2780236760745.982,10.571295298417532,12.44408178135233,1.8727864829347975
UGC04325,8,1,2.474755951678374,6.633639035038046,2.474758159618208,10.792524326337551,4.158885291299505,-2.207939834075745e-06,UGC04325,9,9.6,2.88,1,41.0,3.0,2.026,0.035,2.79,41.0,1.86,213.22,0.678,6.61,90.9,2.7,1,"Sw09,Sw02",1013000000.0,103.626,199083902955.42108,9.00560944536028,11.299036146314435,2.293426700954157
UGC02916,32,1,90.67055562207955,97.602027427679,90.6708182029914,104.5337618141903,6.931734386511295,-0.0002625809118512734,UGC02916,2,65.4,9.8,1,50.0,5.0,124.153,1.83,2.8,2425.66,6.15,520.99,23.273,34.24,182.7,6.9,2,"No07,No05",62076500000.0,208.27799999999996,1616442046594.79,10.792927222529496,12.208560138706147,1.4156329161766514
UGC02953,106,2,1122.9023411733701,1132.2292193615942,409.6697777618761,428.32353413832436,-703.9056852232699,713.2325634114941,UGC02953,2,16.5,4.95,1,50.0,4.0,259.518,0.717,5.03,1544.65,3.55,4215.31,7.678,24.0,264.9,6.0,2,"No07,No05",129758999999.99998,301.98599999999993,4927088595636.736,11.113137489948498,12.692590371540229,1.5794528815917293
NGC3992,9,1,5.030022391976725,9.424471546649164,2.770519433476563,11.559417742821442,2.1349461961722778,2.259502958500162,NGC3992,4,23.7,2.3,5,56.0,2.0,226.932,0.836,9.99,360.44,4.96,3257.09,16.599,32.75,241.0,5.2,1,"VS01,SV98",113466000000.0,274.73999999999995,3710185504928.027,11.054865745013934,12.56939562437314,1.5145298793592057
