galaxy,group,rmax,n,chi2_1,chi2_2,bic_margin,dchi2,p0_in,a_in,p0_out,a_out,ratio,drop
NGC4157,forced,29.61,15,3.5541418930686035,1.7580771040517618,3.620035613187577,1.7960647890168417,7.23852452337713,5.240000000000001,6.53469947091005,28.391499999999997,5.418225190839693,0.7038250524670797
NGC5371,winner,46.24,19,208.40620857318996,42.841450781638684,-159.67587983321837,165.56475779155127,8.794319520420188,1.4500000000000002,6.013166335972867,44.000499999999995,30.345172413793097,2.781153184447321
DDO161,forced,13.37,31,7.518684080993919,6.662338312964976,6.01162864094135,0.8563457680289428,7.157298618546575,0.6000000000000001,6.779568677801159,7.62413106335628,12.706885105593798,0.3777299407454162
NGC6015,winner,29.23,44,661.7902808137343,150.97365327658122,-503.2482482693166,510.81662753715307,8.654156227487606,1.4656922978333464,6.616837683639295,19.257515900427975,13.13885317463653,2.0373185438483112
NGC6195,winner,36.43,20,31.94511390766661,13.868694502684487,-12.084954857874138,18.076419404982122,7.844425181340073,2.3400000000000003,6.492530377774433,34.7255,14.839957264957262,1.3518948035656395
NGC5585,winner,10.96,24,113.78026916609869,62.52040850830569,-44.903752997097115,51.259860657793,9.360810046037361,0.09000000000000004,7.413173623914002,4.90687327601273,54.5208141779192,1.9476364221233595
NGC5985,winner,34.72,33,111.89964540162609,57.31282708198927,-47.59380319670386,54.58681831963682,8.59278990740262,3.5400000000000005,6.33055254250397,33.160999999999994,9.367514124293782,2.2622373648986507
NGC4183,forced,21.02,23,8.067483288567537,2.321005196528513,0.5245103398192761,5.746478092039024,8.023987629227742,2.3416584435441252,6.147147266500687,20.086082922176697,8.57771677912864,1.8768403627270551
NGC5907,winner,50.33,19,171.4468691458399,86.92516368131078,-78.63282750619624,84.52170546452913,7.956461394284043,5.030000000000001,5.85218652934502,48.06499999999953,9.555666003976047,2.104274864939023
NGC4559,forced,20.97,32,7.374925210469346,5.901638573628248,5.458185168758355,1.473286636841098,8.045700321418979,0.7921134345548525,7.150196734393204,7.907932260138428,9.983333087365805,0.8955035870257744
NGC3109,forced,6.45,25,3.4270553845091927,3.383373485608714,6.394069750835921,0.0436818989004788,7.352517185406002,0.26000000000000006,7.3025171854060025,4.905194870401688,18.866134116929565,0.04999999999999982
NGC4010,forced,10.47,12,14.599958639162514,14.599958757168897,4.969813417582383,-1.1800638333170355e-07,7.384874234322239,6.878627491530284,2.733203445583718,7.0581961169605165,1.026105298717126,4.651670788738521
UGC02259,winner,8.14,8,13.843928519742072,2.302922228245969,-7.3821232081364325,11.541006291496103,8.573198780876716,1.0200000000000002,6.801211792938165,7.784,7.631372549019606,1.7719869879385506
NGC4217,forced,16.72,11,5.469146144863103,5.469146174309094,4.795790575042732,-2.944599053478214e-08,6.9707089010509975,15.39569764360381,4.0532267978913525,15.46723893750497,1.0046468367694192,2.917482103159645
UGC02487,forced,80.38,17,76.8883118659835,76.889356334122,5.667471156250926,-0.0010444681385024523,7.930122438497954,9.930000000000001,2.9301224384979916,13.4525,1.3547331319234641,4.999999999999963
UGC04325,forced,5.59,8,2.471587516344357,2.4715905152858753,4.15888608230119,-2.9989415182285484e-06,8.491072261913818,1.3598887781097857,3.4910722623501673,1.5713943392042966,1.1555315144143616,4.99999999956365
NGC7814,forced,19.53,16,9.931330907937951,8.04119612138051,3.6550426579221202,1.8901347865574412,7.968118796095508,4.746980025493542,6.5672028868242105,18.79084900127257,3.958484952613402,1.4009159092712977
NGC6674,winner,72.41,15,276.9563696384183,31.180311834133963,-240.3599574020799,245.77605780428436,8.826683700174735,2.5000000000000004,5.921890385547689,68.91449999999999,27.565799999999992,2.904793314627046
UGC02916,forced,38.0,32,90.25378935933743,90.25380742207875,6.931489868340762,-1.8062741318658482e-05,7.360294682445988,9.847745895864822,2.3602946859684604,11.255358601071581,1.1429375534352315,4.999999996477528
UGC00731,winner,10.91,12,5.701893292312318,0.6677455561446917,-0.06433443659162563,5.0341477361676255,7.991103834205489,1.0748589897290781,7.225267923898004,4.078108750347932,3.7940872145246076,0.7658359103074854
NGC6946,forced,20.4,55,63.220390861850355,63.21549983588495,8.00977534449953,0.00489102596540647,7.515159110642616,6.297042669630075,5.001780899013111,19.6948521327165,3.127635171935954,2.5133782116295045
UGC04278,forced,6.69,25,14.896481053812867,10.772517273105304,2.313787869028836,4.123963780707562,8.241724135378728,0.31273554421834177,7.342288284645617,6.371136777210915,20.372282252518104,0.899435850733111
UGC03580,forced,27.06,25,65.10551962847944,61.19392146983902,2.5261534910959824,3.911598158640423,7.075506454245077,8.302018199473586,5.953580176843526,25.75284921038259,3.1019986455842177,1.1219262774015508
UGC03546,forced,29.23,15,15.640699420227591,15.640702313458876,5.416103295435704,-2.8932312847729236e-06,7.517611857977895,7.846925404201857,2.517616024416628,8.916079133991763,1.1362512926677497,4.999995833561267
UGC00128,winner,53.75,22,144.0624311985125,46.53522235766026,-91.34512393413561,97.52720884085225,7.6761816239696055,3.9776177811601734,6.224040446596739,21.075753896655026,5.29858700765053,1.4521411773728667
UGC05253,winner,53.29,73,100.20842293279458,81.0578598586751,-10.56964419182269,19.150563074119475,9.999999999909654,0.13398281019561387,7.556824339368502,9.489482720014788,70.82612094909949,2.4431756605411525
UGC02885,winner,74.07,19,75.25319531830381,27.73541246695693,-41.628904893014,47.51778285134688,8.88722357876753,1.7000000000000002,6.669413280922489,33.59255011427686,19.760323596633445,2.217810297845041
UGC05721,forced,6.74,23,8.247929219199587,8.234510516872264,6.2575697295309745,0.013418702327323118,8.688093948394553,1.0043215594791335,5.609461416361643,6.453216077973956,6.425448121735788,3.078632532032909
NGC6503,winner,23.5,31,73.85803114801047,39.969052904861215,-27.02100383417897,33.88897824314925,7.835931268845999,3.3209494114704303,6.008555032912005,22.491047470573513,6.772475182214552,1.8273762359339942
UGC06818,forced,6.98,8,10.270202580029869,10.270202580029903,4.158883083359708,-3.375077994860476e-14,6.818487675184202,6.9799999999999995,6.768128824351679,6.98,1.0000000000000002,0.050358850832522783
UGC05986,forced,9.41,15,11.319809577102129,11.319812870799124,5.416103695901416,-3.2936969951435913e-06,7.960566827511353,3.3007420098147393,2.9605668767482074,3.6062049093240023,1.092543706415397,4.999999950763145
UGC05716,winner,12.37,12,25.476976428220443,9.769128340842721,-10.73803478780172,15.707848087377721,8.014486757321423,1.0300000000000002,7.133364383316545,4.8343114540315755,4.693506266050072,0.8811223740048781
NGC7331,forced,36.31,28,12.21404257343733,10.52175297945341,4.97211942636649,1.6922895939839204,6.842445903545892,10.493028423496677,6.537960330534964,35.019151421164615,3.3373731593776528,0.30448557301092816
UGC06923,forced,5.16,6,1.928120069816978,1.9281200837992096,3.5835189524383413,-1.3982231594766859e-08,7.634504826289683,3.349688665188999,2.6827472187479486,3.440204231929549,1.0270220834793442,4.951757607541734
UGC04499,forced,8.18,9,1.7025871109124238,1.7025871597702942,4.39444920353031,-4.88578704160858e-08,7.576478469535993,3.015717390786907,2.579599770316932,3.2739315216410194,1.0856227880115568,4.996878699219061
UGC06787,winner,37.19,55,1787.47286333071,1216.627080196541,-562.8311167637039,570.8457831341689,8.13788244319728,4.223191663826486,6.536589024414615,35.54165958319132,8.415829167220004,1.6012934187826637
UGC07261,forced,6.67,7,1.862206013419566,0.2731655589859424,2.302779843677002,1.5890404544336234,8.386998846567266,0.9500000000000001,6.863485743792637,6.383999999999997,6.719999999999996,1.5235131027746291
UGC06446,forced,10.22,17,6.744344463568709,2.156112222651299,1.0781944471950222,4.58823224091741,8.415531215659977,0.9218170134054653,7.259342748650272,4.342319990396467,4.710609510617134,1.156188467009705
UGC05005,forced,28.61,11,0.11765214487246964,0.1176521704043732,4.795790571128645,-2.553190356358037e-08,6.810319266279576,10.641250305840295,1.810319828704178,11.53968779054828,1.0844296918957814,4.999999437575398
UGC07151,forced,5.5,11,8.151040613289677,8.151041785422443,4.795791717729507,-1.1721327659586223e-06,8.092042396715048,1.5734521869793145,3.0920426247320947,1.7697795776321097,1.1247749326464764,4.999999771982953
