Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,M_star,r_vir,M_halo,logM_star,logM_halo,logM_halo_per_star
NGC2903,4,6.6,1.98,1,66.0,3.0,81.863,0.151,4.54,632.16,2.33,1193.52,2.552,13.76,184.6,5.6,1,"Be91,Be87",40931500000.0,210.444,1667399192040.754,10.612057660349793,12.222039586718214,1.6099819263684214
NGC2915,11,4.06,0.2,2,56.0,4.0,0.641,0.008,0.53,347.4,0.55,313.93,0.508,7.16,83.5,6.3,2,El10,320500000.0,95.19,154313500515.00732,8.505828033854836,11.18840392309934,2.6825758892445037
NGC2976,5,3.58,0.18,2,61.0,10.0,3.371,0.019,1.31,308.2,1.01,1502.55,0.172,3.04,85.4,3.3,2,Si03,1685500000.0,97.356,165088989297.6138,9.226728756856991,11.21771810871555,1.990989351858559
NGC2998,5,68.1,10.2,1,58.0,2.0,150.902,2.085,7.06,479.55,6.2,774.16,23.451,43.58,209.9,8.1,1,"Sa96,Br92",75451000000.0,239.28599999999997,2451217296074.552,10.877665000130216,12.389381812395735,1.5117168122655187
NGC3109,9,1.33,0.07,2,70.0,5.0,0.194,0.002,1.64,11.4,1.56,140.87,0.477,6.0,66.2,2.6,1,"Be91,JC90",97000000.0,75.468,76898605625.32117,7.986771734266245,10.885918464967634,2.899146730701389
NGC3198,5,13.8,1.4,3,73.0,3.0,38.279,0.212,5.84,178.99,3.14,1602.62,10.869,35.66,150.1,3.9,1,"Da06,Be91,Be87",19139500000.0,171.11399999999998,896368473448.6422,10.281930588086734,11.952486573378346,1.670555985291612
NGC3521,4,7.7,2.3,1,75.0,5.0,84.836,0.156,2.45,2232.7,2.4,2112.66,4.154,18.85,213.7,15.9,1,"Da06,Sa96",42418000000.0,243.61799999999997,2586771474506.5576,10.627550187767522,12.412758063140743,1.7852078753732208
NGC3726,5,18.0,2.5,4,53.0,2.0,70.234,0.388,7.52,198.08,3.4,1789.91,6.473,22.2,168.0,6.2,2,"VS01,SV98",35117000000.0,191.51999999999998,1256817854826.0718,10.545517407601492,12.099272341826122,1.5537549342246297
NGC3741,10,3.21,0.17,2,70.0,4.0,0.028,0.001,0.32,42.94,0.2,143.49,0.182,4.2,50.1,2.1,1,"Ge07,Bm05",14000000.0,57.114,33331716111.241577,7.146128035678238,10.522857674250272,3.3767296385720336
NGC3769,3,18.0,2.5,4,70.0,2.0,18.679,0.189,2.18,626.37,3.38,160.26,5.529,22.57,118.6,8.4,2,"VS01,SV98",9339500000.0,135.20399999999998,442179458728.5016,9.970323626438503,11.645598563733266,1.6752749372947626
NGC3877,5,18.0,2.5,4,76.0,1.0,72.535,0.401,4.39,598.18,2.53,3410.59,1.483,11.47,168.4,5.1,2,"VS01,SV98",36267500000.0,191.976,1265816516634.8518,10.559517619720909,12.102370758139427,1.5428531384185185
NGC3893,5,18.0,2.5,4,49.0,2.0,58.525,0.377,2.43,1573.37,2.38,2055.09,5.799,20.84,174.0,8.9,1,"VS01,SV98",29262500000.0,198.35999999999999,1396343415695.748,10.466311426704682,12.144992241496334,1.6786808147916528
NGC3917,6,18.0,2.5,4,79.0,2.0,21.966,0.202,5.56,112.94,2.63,1226.96,1.888,14.08,135.9,4.1,1,"VS01,SV98",10983000000.0,154.926,665277547788.7239,10.040720983601194,11.823002866846018,1.7822818832448242
NGC3949,4,18.0,2.5,4,55.0,2.0,38.067,0.28,2.39,1058.84,3.59,185.71,3.371,13.72,163.0,7.1,2,"VS01,SV98",19033500000.0,185.82,1147908600737.9834,10.279518656438448,12.059907309860408,1.7803886534219604
NGC3953,4,18.0,2.5,4,62.0,1.0,141.301,0.521,6.17,587.26,4.89,1999.08,2.832,17.38,220.8,6.1,1,"VS01,SV98",70650500000.0,251.712,2853262337430.916,10.849115239736914,12.455341703820018,1.6062264640831039
NGC3972,4,18.0,2.5,4,77.0,1.0,14.353,0.172,3.73,164.75,2.18,1587.93,1.214,10.05,132.7,2.9,1,"VS01,SV98",7176500000.0,151.27799999999996,619380124815.4458,9.855912689188244,11.791957265241841,1.9360445760535967
NGC3992,4,23.7,2.3,5,56.0,2.0,226.932,0.836,9.99,360.44,4.96,3257.09,16.599,32.75,241.0,5.2,1,"VS01,SV98",113466000000.0,274.73999999999995,3710185504928.027,11.054865745013934,12.56939562437314,1.5145298793592055
NGC4010,7,18.0,2.5,4,89.0,1.0,17.193,0.19,6.63,14.75,2.81,2611.14,2.832,17.59,125.8,4.7,2,"VS01,SV98",8596500000.0,143.41199999999998,527699180796.62213,9.93432166751343,11.722386419976285,1.788064752462855
NGC4013,3,18.0,2.5,4,89.0,1.0,79.094,0.364,4.11,746.16,3.53,10205.4,2.967,31.35,172.9,7.1,2,"VS01,SV98",39547000000.0,197.106,1370028105089.3882,10.597113543892805,12.136729476470302,1.5396159325774974
NGC4051,4,18.0,2.5,4,49.0,3.0,95.268,0.439,6.87,319.76,4.65,1320.78,2.697,15.13,157.0,5.5,2,"VS01,SV98",47634000000.0,178.98,1025754554268.7478,10.677917052328029,12.011043453876235,1.3331264015482063
NGC4085,5,18.0,2.5,4,82.0,2.0,21.724,0.2,2.0,856.7,1.65,5021.46,1.349,10.16,131.5,4.8,2,"VS01,SV98",10862000000.0,149.91,602728538262.8328,10.03590979845661,11.780121755125865,1.7442119566692558
NGC4088,4,18.0,2.5,4,69.0,2.0,107.286,0.494,6.1,457.96,2.58,3988.69,8.226,22.25,171.7,6.9,1,"VS01,SV98",53643000000.0,195.73799999999997,1341699883703.6812,10.729513057900906,12.127655382131284,1.3981423242303777
NGC4100,4,18.0,2.5,4,73.0,2.0,59.394,0.328,4.93,388.0,2.15,8970.78,3.102,18.06,158.2,5.0,1,"VS01,SV98",29697000000.0,180.34799999999998,1049455273307.2766,10.472712578972017,12.020963934133508,1.5482513551614918
NGC4138,0,18.0,2.5,4,53.0,3.0,44.111,0.284,1.91,1909.11,1.51,3952.12,1.483,18.58,147.3,5.9,2,"VS01,SV98",22055500000.0,167.922,847135218216.6102,10.343516907717671,11.927952737176428,1.5844358294587568
NGC4157,3,18.0,2.5,4,82.0,3.0,105.62,0.486,4.44,848.85,2.32,23813.87,8.226,24.09,184.7,7.2,1,"VS01,SV98",52810000000.0,210.55799999999996,1670110409708.6428,10.722716167488494,12.222745182969259,1.5000290154807647
NGC4183,6,18.0,2.5,4,82.0,2.0,10.838,0.15,4.47,86.46,2.79,1098.58,3.506,16.07,110.6,5.4,1,"VS01,SV98",5419000000.0,126.08399999999999,358599663382.8655,9.73391915101239,11.554609877554572,1.820690726542182
NGC4217,3,18.0,2.5,4,86.0,2.0,85.299,0.393,5.28,483.98,2.94,4373.51,2.562,16.7,181.3,7.2,1,"VS01,SV98",42649500000.0,206.682,1579566479786.836,10.629913944096419,12.19853790893506,1.5686239648386415
NGC4559,6,9.0,2.7,1,67.0,1.0,19.377,0.107,3.82,211.27,2.1,1602.62,5.811,21.16,121.2,5.1,1,Ba05,9688500000.0,138.16799999999998,471902584783.2203,9.98625654359883,11.673852356139337,1.687595812540506
NGC5005,4,16.9,1.5,5,68.0,2.0,178.72,0.494,3.97,1789.91,9.45,96.57,1.28,10.41,262.2,20.7,1,Ri15,89360000000.0,298.90799999999996,4777960540146.155,10.951143160107552,12.679242558710731,1.7280993986031792
NGC5033,5,15.7,4.7,1,66.0,1.0,110.509,0.407,2.94,2036.24,5.16,614.94,11.314,29.53,194.2,3.6,1,"Sa96,Be87",55254500000.0,221.38799999999998,1941297849134.2524,10.742367653317963,12.288092173364493,1.5457245200465302
NGC5055,4,9.9,0.3,2,55.0,6.0,152.922,0.282,4.18,1383.02,3.2,3348.34,11.722,35.06,179.0,4.9,1,"Ba06,Bl04",76461000000.0,204.05999999999997,1520210016019.8655,10.883439973667864,12.181903589588213,1.2984636159203493
NGC5371,4,39.7,9.92,1,53.0,2.0,340.393,1.881,9.8,560.83,7.44,1395.82,11.18,30.03,209.5,3.9,1,"Sa96,Be87",170196500000.0,238.82999999999998,2437230355320.1533,11.230950624806642,12.386896578555477,1.1559459537488355
NGC5585,7,7.06,2.12,1,51.0,2.0,2.943,0.033,2.27,90.54,1.53,297.05,1.683,10.92,90.3,2.4,1,"Bl99,Sa96,Co91",1471500000.0,102.942,195167611686.82904,9.16776026643563,11.290407747589052,2.1226474811534217
NGC5907,5,17.3,0.9,2,88.0,2.0,175.425,0.646,7.88,449.6,5.34,8646.29,21.025,0.0,215.0,2.9,1,"Sa96,SA87",87712500000.0,245.09999999999997,2634267515479.282,10.943061489536872,12.42065987639535,1.477598386858478
NGC5985,3,39.7,9.9,1,60.0,2.0,208.728,1.538,10.71,288.95,7.01,1461.61,11.586,39.5,293.6,8.6,1,"Bl04,Br92",104364000000.0,334.704,6708302688463.605,11.018550716122284,12.826612650380634,1.8080619342583493
NGC6015,6,17.0,5.1,1,60.0,2.0,32.129,0.237,3.92,331.76,2.3,1926.77,5.834,21.43,154.1,7.0,2,VM97,16064499999.999998,175.67399999999998,969956846327.87,10.20586721288659,11.986752412803792,1.7808851999172024
